From,To,Town,Super (PMS),Diesel (AGO),Kerosene (IK)
2026-07-15,2026-08-14,Kachibora,213.98,223.40,191.94
2026-07-15,2026-08-14,Kwanza,215.13,224.63,193.17
2026-07-15,2026-08-14,Kaplamai,214.02,223.44,191.98
2026-07-15,2026-08-14,Eldama Ravine,214.69,224.16,192.70
2026-07-15,2026-08-14,Tenges,214.92,224.40,192.94
2026-07-15,2026-08-14,Barwessa,215.10,224.61,193.15
2026-07-15,2026-08-14,Kipsaraman,216.56,226.18,194.72
2026-07-15,2026-08-14,Loruk,216.36,225.95,194.49
2026-07-15,2026-08-14,Kabartonjo,214.69,224.16,192.70
2026-07-15,2026-08-14,Tindiret,214.79,224.28,192.81
2026-07-15,2026-08-14,O'lessos,213.46,222.84,191.38
2026-07-15,2026-08-14,Kobujoi,214.11,223.53,192.07
2026-07-15,2026-08-14,Serem,214.23,223.67,192.21
2026-07-15,2026-08-14,Kabiyet,213.35,222.73,191.27
2026-07-15,2026-08-14,Cheptulu,214.04,223.46,192.00
2026-07-15,2026-08-14,Songor,214.92,224.40,192.94
2026-07-15,2026-08-14,Kapcherop,214.34,223.78,192.32
2026-07-15,2026-08-14,Sambalat,215.44,224.96,193.51
2026-07-15,2026-08-14,Arror,214.88,224.36,192.91
2026-07-15,2026-08-14,Tot,215.21,224.72,193.26
2026-07-15,2026-08-14,Kaptarakwa,213.67,223.07,191.61
2026-07-15,2026-08-14,Kapese,218.42,228.16,196.70
2026-07-15,2026-08-14,Kalemngorok,217.44,227.11,195.66
2026-07-15,2026-08-14,Marich,215.79,225.34,193.88
2026-07-15,2026-08-14,Alale,216.58,226.19,194.74
2026-07-15,2026-08-14,Kunyao,216.04,225.61,194.15
2026-07-15,2026-08-14,Asilong,215.37,224.90,193.44
2026-07-15,2026-08-14,Orolwo,215.44,224.96,193.51
2026-07-15,2026-08-14,Sebit,215.35,224.88,193.42
2026-07-15,2026-08-14,Morpus,215.21,224.72,193.26
2026-07-15,2026-08-14,Chepkorniswo,215.02,224.52,193.06
2026-07-15,2026-08-14,Kaibichbich,214.94,224.43,192.97
2026-07-15,2026-08-14,Keringet,214.50,223.96,192.50
2026-07-15,2026-08-14,Kisumu,213.69,223.08,191.63
2026-07-15,2026-08-14,Sondu,213.52,222.90,191.44
2026-07-15,2026-08-14,Oyugis,214.29,223.73,192.27
2026-07-15,2026-08-14,Kakamega,213.43,222.80,191.35
2026-07-15,2026-08-14,Mumias,213.87,223.28,191.83
2026-07-15,2026-08-14,Bondo,213.69,223.08,191.63
2026-07-15,2026-08-14,Siaya,213.88,223.30,191.84
2026-07-15,2026-08-14,Kericho,214.16,223.60,192.14
2026-07-15,2026-08-14,Nyamira,214.27,223.71,192.25
2026-07-15,2026-08-14,Kisii,214.77,224.24,192.78
2026-07-15,2026-08-14,Sotik,214.49,223.95,192.49
2026-07-15,2026-08-14,Keroka,214.79,224.27,192.80
2026-07-15,2026-08-14,Busia,214.75,224.22,192.77
2026-07-15,2026-08-14,Homabay,214.66,224.14,192.68
2026-07-15,2026-08-14,Migori,216.03,225.61,194.15
2026-07-15,2026-08-14,Isebania,216.50,226.10,194.64
2026-07-15,2026-08-14,Bomet,215.15,224.65,193.19
2026-07-15,2026-08-14,Muhoroni,213.72,223.12,191.66
2026-07-15,2026-08-14,Mbita,214.64,224.11,192.65
2026-07-15,2026-08-14,Mbale,213.69,223.08,191.63
2026-07-15,2026-08-14,Etago,215.69,225.23,193.77
2026-07-15,2026-08-14,Magenche,215.85,225.41,193.95
2026-07-15,2026-08-14,Kilgoris,215.58,225.11,193.66
2026-07-15,2026-08-14,Malava,213.94,223.35,191.89
2026-07-15,2026-08-14,Lugari,214.56,224.02,192.56
2026-07-15,2026-08-14,Rodi Kopany,214.77,224.24,192.78
2026-07-15,2026-08-14,Ndhiwa,215.20,224.72,193.26
2026-07-15,2026-08-14,Rangwe,214.75,224.22,192.77
2026-07-15,2026-08-14,Sindo,214.77,224.24,192.78
2026-07-15,2026-08-14,Awasi,213.29,222.65,191.20
2026-07-15,2026-08-14,Ahero,213.69,223.08,191.63
2026-07-15,2026-08-14,Ugunja,214.03,223.46,192.00
2026-07-15,2026-08-14,Asembo,213.47,222.86,191.40
2026-07-15,2026-08-14,Usenge,214.25,223.68,192.22
2026-07-15,2026-08-14,Harambee,213.42,222.79,191.33
2026-07-15,2026-08-14,Muhuru Bay,216.27,225.85,194.39
2026-07-15,2026-08-14,Kehancha,216.64,226.26,194.80
2026-07-15,2026-08-14,Ntimaru,217.14,226.79,195.33
2026-07-15,2026-08-14,Rongo,215.16,224.67,193.21
2026-07-15,2026-08-14,Kaspokwony,215.10,224.60,193.14
2026-07-15,2026-08-14,Chwele,215.02,224.51,193.06
2026-07-15,2026-08-14,Kimilili,214.89,224.38,192.92
2026-07-15,2026-08-14,Nambale,214.75,224.22,192.77
2026-07-15,2026-08-14,SioPort,214.73,224.20,192.74
2026-07-15,2026-08-14,Port Bunyala,214.81,224.29,192.83
2026-07-15,2026-08-14,Funyula,214.52,223.98,192.51
2026-07-15,2026-08-14,Ogembo,215.02,224.51,193.06
2026-07-15,2026-08-14,Nyangusu,215.44,224.96,193.50
2026-07-15,2026-08-14,Sengera,215.31,224.82,193.37
2026-07-15,2026-08-14,Keumbu,214.87,224.36,192.90
2026-07-15,2026-08-14,Marani,214.39,223.85,192.39
2026-07-15,2026-08-14,Kerina,214.97,224.47,193.01
2026-07-15,2026-08-14,Ikonge,213.94,223.35,191.89
2026-07-15,2026-08-14,Nyansiongo,214.57,224.04,192.58
